Date_As_Of,Rank_As_Of,YTD_Rank,Last_Week_Rank,Title,Type,Netflix_Exclusive,Release_Date,Days_in_top_10,Viewership_Score
2020-04-03,7,8,-,Unorthodox,TV Show,Yes,26-Mar-20,4,12
2020-04-03,8,-,-,The Players Club,Movie,,01-Apr-20,1,3
2020-04-03,9,-,-,Salt,Movie,,01-Apr-20,1,2
2020-04-03,10,6,-,Blood Father,Movie,,26-Mar-20,7,36
2020-04-04,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,12,120
2020-04-04,2,2,2,Ozark,TV Show,Yes,21-Jul-17,8,72
2020-04-04,3,-,-,Money Heist,TV Show,Yes,20-Dec-17,1,8
2020-04-04,4,3,3,All American,TV Show,,28-Mar-19,12,99
2020-04-04,5,-,-,Coffee & Kareem,Movie,Yes,03-Apr-20,1,6
2020-04-04,6,4,-,How to Fix a Drug Scandal,TV Show,Yes,01-Apr-20,3,18
2020-04-04,7,6,-,The Roommate,Movie,,01-Apr-20,3,13
2020-04-04,8,5,-,Nailed It!,TV Show,Yes,09-Mar-18,3,16
2020-04-04,9,7,-,Unorthodox,TV Show,Yes,26-Mar-20,5,14
2020-04-04,10,8,-,The Players Club,Movie,,01-Apr-20,2,4
2020-04-05,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,13,130
2020-04-05,2,2,2,Ozark,TV Show,Yes,21-Jul-17,9,81
2020-04-05,3,5,-,Coffee & Kareem,Movie,Yes,03-Apr-20,2,14
2020-04-05,4,3,-,Money Heist,TV Show,Yes,20-Dec-17,2,15
2020-04-05,5,4,3,All American,TV Show,,28-Mar-19,13,105
2020-04-05,6,6,-,How to Fix a Drug Scandal,TV Show,Yes,01-Apr-20,4,23
2020-04-05,7,8,-,Nailed It!,TV Show,Yes,09-Mar-18,4,20
2020-04-05,8,7,-,The Roommate,Movie,,01-Apr-20,4,16
2020-04-05,9,-,-,Angel Has Fallen,Movie,,04-Apr-20,1,2
2020-04-05,10,9,-,Unorthodox,TV Show,Yes,26-Mar-20,6,15
2020-04-06,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,14,140
2020-04-06,2,2,2,Ozark,TV Show,Yes,21-Jul-17,10,90
2020-04-06,3,3,-,Coffee & Kareem,Movie,Yes,03-Apr-20,3,22
2020-04-06,4,9,-,Angel Has Fallen,Movie,,04-Apr-20,2,9
2020-04-06,5,4,-,Money Heist,TV Show,Yes,20-Dec-17,3,21
2020-04-06,6,5,3,All American,TV Show,,28-Mar-19,14,110
2020-04-06,7,6,-,How to Fix a Drug Scandal,TV Show,Yes,01-Apr-20,5,27
2020-04-06,8,7,-,Nailed It!,TV Show,Yes,09-Mar-18,5,23
2020-04-06,9,8,-,The Roommate,Movie,,01-Apr-20,5,18
2020-04-06,10,-,-,The Hangover,Movie,,01-Jul-19,1,1
2020-04-07,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,15,150
2020-04-07,2,2,2,Ozark,TV Show,Yes,21-Jul-17,11,99
2020-04-07,3,3,-,Coffee & Kareem,Movie,Yes,03-Apr-20,4,30
2020-04-07,4,4,-,Angel Has Fallen,Movie,,04-Apr-20,3,16
2020-04-07,5,5,-,Money Heist,TV Show,Yes,20-Dec-17,4,27
2020-04-07,6,6,3,All American,TV Show,,28-Mar-19,15,115
2020-04-07,7,-,-,The Big Show Show,TV Show,Yes,06-Apr-20,1,4
2020-04-07,8,8,-,Nailed It!,TV Show,Yes,09-Mar-18,6,26
2020-04-07,9,7,-,How to Fix a Drug Scandal,TV Show,Yes,01-Apr-20,6,29
2020-04-07,10,-,-,Legacies,TV Show,,05-Apr-19,1,1
2020-04-08,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,16,160
2020-04-08,2,2,2,Ozark,TV Show,Yes,21-Jul-17,12,108
2020-04-08,3,3,-,Coffee & Kareem,Movie,Yes,03-Apr-20,5,38
2020-04-08,4,7,-,The Big Show Show,TV Show,Yes,06-Apr-20,2,11
2020-04-08,5,4,-,Angel Has Fallen,Movie,,04-Apr-20,4,22
2020-04-08,6,5,-,Money Heist,TV Show,Yes,20-Dec-17,5,32
2020-04-08,7,6,3,All American,TV Show,,28-Mar-19,16,119
2020-04-08,8,10,-,Legacies,TV Show,,05-Apr-19,2,4
2020-04-08,9,8,-,Nailed It!,TV Show,Yes,09-Mar-18,7,28
2020-04-08,10,-,-,The Hangover,Movie,,01-Jul-19,2,2
2020-04-09,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,17,170
2020-04-09,2,2,2,Ozark,TV Show,Yes,21-Jul-17,13,117
2020-04-09,3,4,-,The Big Show Show,TV Show,Yes,06-Apr-20,3,19
2020-04-09,4,5,-,Angel Has Fallen,Movie,,04-Apr-20,5,29
2020-04-09,5,3,-,Coffee & Kareem,Movie,Yes,03-Apr-20,6,44
2020-04-09,6,6,-,Money Heist,TV Show,Yes,20-Dec-17,6,37
2020-04-09,7,7,3,All American,TV Show,,28-Mar-19,17,123
2020-04-09,8,8,-,Legacies,TV Show,,05-Apr-19,3,7
2020-04-09,9,9,4,Nailed It!,TV Show,Yes,09-Mar-18,8,30
2020-04-09,10,10,-,The Hangover,Movie,,01-Jul-19,3,3
2020-04-10,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,18,180
2020-04-10,2,2,2,Ozark,TV Show,Yes,21-Jul-17,14,126
2020-04-10,3,3,-,The Big Show Show,TV Show,Yes,06-Apr-20,4,27
2020-04-10,4,4,-,Angel Has Fallen,Movie,,04-Apr-20,6,36
2020-04-10,5,6,-,Money Heist,TV Show,Yes,20-Dec-17,7,43
2020-04-10,6,7,3,All American,TV Show,,28-Mar-19,18,128
2020-04-10,7,5,-,Coffee & Kareem,Movie,Yes,03-Apr-20,7,48
2020-04-10,8,8,-,Legacies,TV Show,,05-Apr-19,4,10
2020-04-10,9,9,5,Nailed It!,TV Show,Yes,09-Mar-18,9,32
2020-04-10,10,-,-,Community,TV Show,,01-Apr-20,1,1
2020-04-11,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,19,190
2020-04-11,2,2,2,Ozark,TV Show,Yes,21-Jul-17,15,135
2020-04-11,3,4,-,Angel Has Fallen,Movie,,04-Apr-20,7,44
2020-04-11,4,3,-,The Big Show Show,TV Show,Yes,06-Apr-20,5,34
2020-04-11,5,5,3,Money Heist,TV Show,Yes,20-Dec-17,8,49
2020-04-11,6,-,-,Love Wedding Repeat,Movie,Yes,10-Apr-20,1,5
2020-04-11,7,6,4,All American,TV Show,,28-Mar-19,19,132
2020-04-11,8,7,5,Coffee & Kareem,Movie,Yes,03-Apr-20,8,51
2020-04-11,9,8,-,Legacies,TV Show,,05-Apr-19,5,12
2020-04-11,10,9,8,Nailed It!,TV Show,Yes,09-Mar-18,10,33
2020-04-12,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,20,200
2020-04-12,2,2,2,Ozark,TV Show,Yes,21-Jul-17,16,144
2020-04-12,3,6,-,Love Wedding Repeat,Movie,Yes,10-Apr-20,2,13
2020-04-12,4,3,9,Angel Has Fallen,Movie,,04-Apr-20,8,51
2020-04-12,5,4,-,The Big Show Show,TV Show,Yes,06-Apr-20,6,40
2020-04-12,6,5,4,Money Heist,TV Show,Yes,20-Dec-17,9,54
2020-04-12,7,-,-,Code 8,Movie,,11-Apr-20,1,4
2020-04-12,8,7,5,All American,TV Show,,28-Mar-19,20,135
2020-04-12,9,9,-,Legacies,TV Show,,05-Apr-19,6,14
2020-04-12,10,-,-,Community,TV Show,,01-Apr-20,2,2
2020-04-13,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,21,210
2020-04-13,2,7,-,Code 8,Movie,,11-Apr-20,2,13
2020-04-13,3,2,2,Ozark,TV Show,Yes,21-Jul-17,17,152
2020-04-13,4,4,4,Angel Has Fallen,Movie,,04-Apr-20,9,58
2020-04-13,5,3,-,Love Wedding Repeat,Movie,Yes,10-Apr-20,3,19
2020-04-13,6,6,5,Money Heist,TV Show,Yes,20-Dec-17,10,59
2020-04-13,7,-,-,Hop,Movie,,16-Jan-20,1,4
2020-04-13,8,5,-,The Big Show Show,TV Show,Yes,06-Apr-20,7,43
2020-04-13,9,8,6,All American,TV Show,,28-Mar-19,21,137
2020-04-13,10,-,-,The Main Event,Movie,Yes,10-Apr-20,1,1
2020-04-14,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,22,220
2020-04-14,2,3,2,Ozark,TV Show,Yes,21-Jul-17,18,161
2020-04-14,3,2,-,Code 8,Movie,,11-Apr-20,3,21
2020-04-14,4,6,5,Money Heist,TV Show,Yes,20-Dec-17,11,66
2020-04-14,5,9,6,All American,TV Show,,28-Mar-19,22,143
2020-04-14,6,5,-,Love Wedding Repeat,Movie,Yes,10-Apr-20,4,24
2020-04-14,7,8,7,The Big Show Show,TV Show,Yes,06-Apr-20,8,47
2020-04-14,8,10,-,The Main Event,Movie,Yes,10-Apr-20,2,4
2020-04-14,9,4,4,Angel Has Fallen,Movie,,04-Apr-20,10,60
2020-04-14,10,-,10,Legacies,TV Show,,05-Apr-19,7,15
2020-04-15,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,23,230
2020-04-15,2,2,2,Ozark,TV Show,Yes,21-Jul-17,19,170
2020-04-15,3,3,-,Code 8,Movie,,11-Apr-20,4,29
2020-04-15,4,-,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,14-Apr-20,1,7
2020-04-15,5,4,6,Money Heist,TV Show,Yes,20-Dec-17,12,72
2020-04-15,6,5,7,All American,TV Show,,28-Mar-19,23,148
2020-04-15,7,7,4,The Big Show Show,TV Show,Yes,06-Apr-20,9,51
2020-04-15,8,6,-,Love Wedding Repeat,Movie,Yes,10-Apr-20,5,27
2020-04-15,9,8,-,The Main Event,Movie,Yes,10-Apr-20,3,6
2020-04-15,10,9,5,Angel Has Fallen,Movie,,04-Apr-20,11,61
2020-04-16,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,24,240
2020-04-16,2,2,2,Ozark,TV Show,Yes,21-Jul-17,20,179
2020-04-16,3,3,-,Code 8,Movie,,11-Apr-20,5,37
2020-04-16,4,4,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,14-Apr-20,2,14
2020-04-16,5,-,-,The Innocence Files,TV Show,Yes,15-Apr-20,1,6
2020-04-16,6,-,-,Outer Banks,TV Show,Yes,15-Apr-20,1,5
2020-04-16,7,6,7,All American,TV Show,,28-Mar-19,24,152
2020-04-16,8,5,6,Money Heist,TV Show,Yes,20-Dec-17,13,75
2020-04-16,9,7,3,The Big Show Show,TV Show,Yes,06-Apr-20,10,53
2020-04-16,10,10,4,Angel Has Fallen,Movie,,04-Apr-20,12,62
2020-04-17,1,-,-,Despicable Me,Movie,,16-Apr-20,1,10
2020-04-17,2,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,25,249
2020-04-17,3,6,-,Outer Banks,TV Show,Yes,15-Apr-20,2,13
2020-04-17,4,2,2,Ozark,TV Show,Yes,21-Jul-17,21,186
2020-04-17,5,5,-,The Innocence Files,TV Show,Yes,15-Apr-20,2,12
2020-04-17,6,3,-,Code 8,Movie,,11-Apr-20,6,42
2020-04-17,7,7,6,All American,TV Show,,28-Mar-19,25,156
2020-04-17,8,8,5,Money Heist,TV Show,Yes,20-Dec-17,14,78
2020-04-17,9,4,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,14-Apr-20,3,16
2020-04-17,10,9,3,The Big Show Show,TV Show,Yes,06-Apr-20,11,54
2020-04-18,1,1,-,Despicable Me,Movie,,16-Apr-20,2,20
2020-04-18,2,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,26,258
2020-04-18,3,3,-,Outer Banks,TV Show,Yes,15-Apr-20,3,21
2020-04-18,4,4,2,Ozark,TV Show,Yes,21-Jul-17,22,193
2020-04-18,5,-,-,Too Hot to Handle,TV Show,Yes,17-Apr-20,1,6
2020-04-18,6,-,-,#blackAF,TV Show,Yes,17-Apr-20,1,5
2020-04-18,7,6,-,Code 8,Movie,,11-Apr-20,7,46
2020-04-18,8,5,-,The Innocence Files,TV Show,Yes,15-Apr-20,3,15
2020-04-18,9,7,7,All American,TV Show,,28-Mar-19,26,158
2020-04-18,10,8,5,Money Heist,TV Show,Yes,20-Dec-17,15,79
2020-04-19,1,1,-,Despicable Me,Movie,,16-Apr-20,3,30
2020-04-19,2,5,-,Too Hot to Handle,TV Show,Yes,17-Apr-20,2,15
2020-04-19,3,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,27,266
2020-04-19,4,3,-,Outer Banks,TV Show,Yes,15-Apr-20,4,28
2020-04-19,5,6,-,#blackAF,TV Show,Yes,17-Apr-20,2,11
2020-04-19,6,4,2,Ozark,TV Show,Yes,21-Jul-17,23,198
2020-04-19,7,8,-,The Innocence Files,TV Show,Yes,15-Apr-20,4,19
2020-04-19,8,7,7,Code 8,Movie,,11-Apr-20,8,49
2020-04-19,9,-,-,Waco,TV Show,,16-Apr-20,1,2
2020-04-19,10,10,6,Money Heist,TV Show,Yes,20-Dec-17,16,80
2020-04-20,1,1,-,Despicable Me,Movie,,16-Apr-20,4,40
2020-04-20,2,2,-,Too Hot to Handle,TV Show,Yes,17-Apr-20,3,24
2020-04-20,3,4,-,Outer Banks,TV Show,Yes,15-Apr-20,5,36
2020-04-20,4,3,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,28,273
2020-04-20,5,5,-,#blackAF,TV Show,Yes,17-Apr-20,3,17
2020-04-20,6,6,3,Ozark,TV Show,Yes,21-Jul-17,24,203
2020-04-20,7,9,-,Waco,TV Show,,16-Apr-20,2,6
2020-04-20,8,7,-,The Innocence Files,TV Show,Yes,15-Apr-20,5,22
2020-04-20,9,8,2,Code 8,Movie,,11-Apr-20,9,51
2020-04-20,10,-,-,The Green Hornet,Movie,,18-Apr-20,1,1
2020-04-21,1,2,-,Too Hot to Handle,TV Show,Yes,17-Apr-20,4,34
2020-04-21,2,3,-,Outer Banks,TV Show,Yes,15-Apr-20,6,45
2020-04-21,3,1,-,Despicable Me,Movie,,16-Apr-20,5,48
2020-04-21,4,7,-,Waco,TV Show,,16-Apr-20,3,13
2020-04-21,5,4,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,29,279
2020-04-21,6,5,-,#blackAF,TV Show,Yes,17-Apr-20,4,22
2020-04-21,7,6,2,Ozark,TV Show,Yes,21-Jul-17,25,207
2020-04-21,8,8,-,The Innocence Files,TV Show,Yes,15-Apr-20,6,25
2020-04-21,9,-,5,All American,TV Show,,28-Mar-19,27,160
2020-04-21,10,10,-,The Green Hornet,Movie,,18-Apr-20,2,2
2020-04-22,1,1,-,Too Hot to Handle,TV Show,Yes,17-Apr-20,5,44
2020-04-22,2,2,-,Outer Banks,TV Show,Yes,15-Apr-20,7,54
2020-04-22,3,3,-,Despicable Me,Movie,,16-Apr-20,6,56
2020-04-22,4,4,-,Waco,TV Show,,16-Apr-20,4,20
2020-04-22,5,6,-,#blackAF,TV Show,Yes,17-Apr-20,5,28
2020-04-22,6,5,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,30,284
2020-04-22,7,7,2,Ozark,TV Show,Yes,21-Jul-17,26,211
2020-04-22,8,9,6,All American,TV Show,,28-Mar-19,28,163
2020-04-22,9,8,-,The Innocence Files,TV Show,Yes,15-Apr-20,7,27
2020-04-22,10,-,-,Cooked with Cannabis,TV Show,Yes,20-Apr-20,1,1
2020-04-23,1,1,-,Too Hot to Handle,TV Show,Yes,17-Apr-20,6,54
2020-04-23,2,2,6,Outer Banks,TV Show,Yes,15-Apr-20,8,63
2020-04-23,3,4,-,Waco,TV Show,,16-Apr-20,5,28
2020-04-23,4,-,-,The Willoughbys,Movie,Yes,22-Apr-20,1,7
2020-04-23,5,3,-,Despicable Me,Movie,,16-Apr-20,7,62
2020-04-23,6,7,2,Ozark,TV Show,Yes,21-Jul-17,27,216
2020-04-23,7,6,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,31,288
2020-04-23,8,5,-,#blackAF,TV Show,Yes,17-Apr-20,6,31
2020-04-23,9,-,-,Absurd Planet,TV Show,Yes,22-Apr-20,1,2
2020-04-23,10,10,-,Cooked with Cannabis,TV Show,Yes,20-Apr-20,2,2
2020-04-24,1,4,-,The Willoughbys,Movie,Yes,22-Apr-20,2,17
2020-04-24,2,2,3,Outer Banks,TV Show,Yes,15-Apr-20,9,72
2020-04-24,3,1,-,Too Hot to Handle,TV Show,Yes,17-Apr-20,7,62
2020-04-24,4,3,-,Waco,TV Show,,16-Apr-20,6,35
2020-04-24,5,6,4,Ozark,TV Show,Yes,21-Jul-17,28,222
2020-04-24,6,5,1,Despicable Me,Movie,,16-Apr-20,8,67
2020-04-24,7,7,2,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,32,292
2020-04-24,8,8,-,#blackAF,TV Show,Yes,17-Apr-20,7,34
2020-04-24,9,9,-,Absurd Planet,TV Show,Yes,22-Apr-20,2,4
2020-04-24,10,10,-,Cooked with Cannabis,TV Show,Yes,20-Apr-20,3,3
2020-04-25,1,-,-,Extraction,Movie,Yes,24-Apr-20,1,10
2020-04-25,2,1,-,The Willoughbys,Movie,Yes,22-Apr-20,3,26
2020-04-25,3,2,3,Outer Banks,TV Show,Yes,15-Apr-20,10,80
2020-04-25,4,3,5,Too Hot to Handle,TV Show,Yes,17-Apr-20,8,69
2020-04-25,5,4,-,Waco,TV Show,,16-Apr-20,7,41
2020-04-25,6,5,4,Ozark,TV Show,Yes,21-Jul-17,29,227
2020-04-25,7,6,1,Despicable Me,Movie,,16-Apr-20,9,71
2020-04-25,8,7,2,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,33,295
2020-04-25,9,9,-,Absurd Planet,TV Show,Yes,22-Apr-20,3,6
2020-04-25,10,8,6,#blackAF,TV Show,Yes,17-Apr-20,8,35
2020-04-26,1,1,-,Extraction,Movie,Yes,24-Apr-20,2,20
2020-04-26,2,3,4,Outer Banks,TV Show,Yes,15-Apr-20,11,89
2020-04-26,3,2,-,The Willoughbys,Movie,Yes,22-Apr-20,4,34
2020-04-26,4,5,9,Waco,TV Show,,16-Apr-20,8,48
2020-04-26,5,4,2,Too Hot to Handle,TV Show,Yes,17-Apr-20,9,75
2020-04-26,6,8,3,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,34,300
2020-04-26,7,6,6,Ozark,TV Show,Yes,21-Jul-17,30,231
2020-04-26,8,9,-,Absurd Planet,TV Show,Yes,22-Apr-20,4,9
2020-04-26,9,7,1,Despicable Me,Movie,,16-Apr-20,10,73
2020-04-26,10,-,-,Django Unchained,Movie,,25-Oct-14,1,1
2020-04-27,1,1,-,Extraction,Movie,Yes,24-Apr-20,3,30
2020-04-27,2,2,3,Outer Banks,TV Show,Yes,15-Apr-20,12,98
2020-04-27,3,-,-,"Coronavirus, Explained",TV Show,Yes,26-Apr-20,1,8
2020-04-27,4,3,-,The Willoughbys,Movie,Yes,22-Apr-20,5,41
2020-04-27,5,4,7,Waco,TV Show,,16-Apr-20,9,54
2020-04-27,6,5,2,Too Hot to Handle,TV Show,Yes,17-Apr-20,10,80
2020-04-27,7,-,-,The Last Kingdom,TV Show,,10-Jul-16,1,4
2020-04-27,8,10,-,Django Unchained,Movie,,25-Oct-14,2,4
2020-04-27,9,7,6,Ozark,TV Show,Yes,21-Jul-17,31,233
2020-04-27,10,6,4,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,35,301
2020-04-28,1,1,-,Extraction,Movie,Yes,24-Apr-20,4,40
2020-04-28,2,2,2,Outer Banks,TV Show,Yes,15-Apr-20,13,107
2020-04-28,3,7,-,The Last Kingdom,TV Show,,10-Jul-16,2,12
2020-04-28,4,3,-,"Coronavirus, Explained",TV Show,Yes,26-Apr-20,2,15
2020-04-28,5,4,-,The Willoughbys,Movie,Yes,22-Apr-20,6,47
2020-04-28,6,-,-,Never Have I Ever,TV Show,Yes,27-Apr-20,1,5
2020-04-28,7,5,4,Waco,TV Show,,16-Apr-20,10,58
2020-04-28,8,6,1,Too Hot to Handle,TV Show,Yes,17-Apr-20,11,83
2020-04-28,9,9,7,Ozark,TV Show,Yes,21-Jul-17,32,235
2020-04-28,10,8,-,Django Unchained,Movie,,25-Oct-14,3,5
2020-04-29,1,1,-,Extraction,Movie,Yes,24-Apr-20,5,50
2020-04-29,2,6,-,Never Have I Ever,TV Show,Yes,27-Apr-20,2,14
2020-04-29,3,2,2,Outer Banks,TV Show,Yes,15-Apr-20,14,115
2020-04-29,4,3,-,The Last Kingdom,TV Show,,10-Jul-16,3,19
2020-04-29,5,5,-,The Willoughbys,Movie,Yes,22-Apr-20,7,53
2020-04-29,6,7,4,Waco,TV Show,,16-Apr-20,11,63
2020-04-29,7,9,7,Ozark,TV Show,Yes,21-Jul-17,33,239
2020-04-29,8,4,-,"Coronavirus, Explained",TV Show,Yes,26-Apr-20,3,18
2020-04-29,9,8,1,Too Hot to Handle,TV Show,Yes,17-Apr-20,12,85
2020-04-29,10,10,-,Django Unchained,Movie,,25-Oct-14,4,6
2020-04-30,1,2,-,Never Have I Ever,TV Show,Yes,27-Apr-20,3,24
2020-04-30,2,1,-,Extraction,Movie,Yes,24-Apr-20,6,59
2020-04-30,3,3,2,Outer Banks,TV Show,Yes,15-Apr-20,15,123
2020-04-30,4,4,-,The Last Kingdom,TV Show,,10-Jul-16,4,26
2020-04-30,5,-,-,Murder to Mercy: The Cyntoi…,Movie,Yes,29-Apr-20,1,6
2020-04-30,6,5,4,The Willoughbys,Movie,Yes,22-Apr-20,8,58
2020-04-30,7,6,3,Waco,TV Show,,16-Apr-20,12,67
2020-04-30,8,7,6,Ozark,TV Show,Yes,21-Jul-17,34,242
2020-04-30,9,10,-,Django Unchained,Movie,,25-Oct-14,5,8
2020-04-30,10,9,1,Too Hot to Handle,TV Show,Yes,17-Apr-20,13,86
2020-05-01,1,1,-,Never Have I Ever,TV Show,Yes,27-Apr-20,4,34
2020-05-01,2,-,-,Dangerous Lies,Movie,Yes,30-Apr-20,1,9
2020-05-01,3,3,2,Outer Banks,TV Show,Yes,15-Apr-20,16,131
2020-05-01,4,2,-,Extraction,Movie,Yes,24-Apr-20,7,66
2020-05-01,5,5,-,Murder to Mercy: The Cyntoi…,Movie,Yes,29-Apr-20,2,12
2020-05-01,6,4,-,The Last Kingdom,TV Show,,10-Jul-16,5,31
2020-05-01,7,6,1,The Willoughbys,Movie,Yes,22-Apr-20,9,62
2020-05-01,8,7,4,Waco,TV Show,,16-Apr-20,13,70
2020-05-01,9,8,5,Ozark,TV Show,Yes,21-Jul-17,35,244
2020-05-01,10,10,3,Too Hot to Handle,TV Show,Yes,17-Apr-20,14,87
2020-05-02,1,2,-,Dangerous Lies,Movie,Yes,30-Apr-20,2,19
2020-05-02,2,1,-,Never Have I Ever,TV Show,Yes,27-Apr-20,5,43
2020-05-02,3,3,3,Outer Banks,TV Show,Yes,15-Apr-20,17,139
2020-05-02,4,4,1,Extraction,Movie,Yes,24-Apr-20,8,73
2020-05-02,5,5,-,Murder to Mercy: The Cyntoi…,Movie,Yes,29-Apr-20,3,18
2020-05-02,6,6,-,The Last Kingdom,TV Show,,10-Jul-16,6,36
2020-05-02,7,7,2,The Willoughbys,Movie,Yes,22-Apr-20,10,66
2020-05-02,8,-,-,All Day and a Night,Movie,Yes,01-May-20,1,3
2020-05-02,9,9,6,Ozark,TV Show,Yes,21-Jul-17,36,246
2020-05-02,10,8,5,Waco,TV Show,,16-Apr-20,14,71
2020-05-03,1,1,-,Dangerous Lies,Movie,Yes,30-Apr-20,3,29
2020-05-03,2,2,-,Never Have I Ever,TV Show,Yes,27-Apr-20,6,52
2020-05-03,3,3,2,Outer Banks,TV Show,Yes,15-Apr-20,18,147
2020-05-03,4,4,1,Extraction,Movie,Yes,24-Apr-20,9,80
2020-05-03,5,8,-,All Day and a Night,Movie,Yes,01-May-20,2,9
2020-05-03,6,-,-,Hollywood,TV Show,Yes,01-May-20,1,5
2020-05-03,7,-,-,Den of Thieves,Movie,,01-May-20,1,4
2020-05-03,8,5,-,Murder to Mercy: The Cyntoi…,Movie,Yes,29-Apr-20,4,21
2020-05-03,9,-,-,The Half of It,Movie,Yes,01-May-20,1,2
2020-05-03,10,6,-,The Last Kingdom,TV Show,,10-Jul-16,7,37
2020-05-04,1,1,-,Dangerous Lies,Movie,Yes,30-Apr-20,4,39
2020-05-04,2,3,2,Outer Banks,TV Show,Yes,15-Apr-20,19,156
2020-05-04,3,6,-,Hollywood,TV Show,Yes,01-May-20,2,13
2020-05-04,4,5,-,All Day and a Night,Movie,Yes,01-May-20,3,16
2020-05-04,5,2,-,Never Have I Ever,TV Show,Yes,27-Apr-20,7,58
2020-05-04,6,4,1,Extraction,Movie,Yes,24-Apr-20,10,85
2020-05-04,7,7,-,Den of Thieves,Movie,,01-May-20,2,8
2020-05-04,8,8,-,Murder to Mercy: The Cyntoi…,Movie,Yes,29-Apr-20,5,24
2020-05-04,9,10,7,The Last Kingdom,TV Show,,10-Jul-16,8,39
