cast_id,movie_id,person_id,Character
111,15,1681528,Man on Hospital Roof (uncredited)
112,15,1490125,Man on Roof (uncredited)
113,15,1205434,Best Man at Wedding (uncredited)
114,15,1187947,Fish Driver (uncredited)
115,15,1421016,Politician (uncredited)
116,15,1023934,Politician (uncredited)
117,15,121253,Politician (uncredited)
118,15,1290863,Waiter at Inquirer Party (uncredited)
119,15,1086333,Orchestra Leader (uncredited)
120,15,134819,Ms. Townsend (uncredited)
121,15,120474,Prompter (uncredited)
122,15,1467054,Newsboy (uncredited)
123,15,1420879,Newsman (uncredited)
124,15,1612202,Shadowgraph Man (uncredited)
125,15,569144,(uncredited)
126,15,1269188,Civic Leader (uncredited)
127,15,1718303,Civic Leader (uncredited)
128,15,1235592,Dr. Corey (uncredited)
129,15,935629,Ethel (uncredited)
130,15,1467852,Woman at Opera (uncredited)
131,15,1271205,Secretary (uncredited)
132,15,1176510,Secretary (uncredited)
133,15,1271643,Opera Spectator (uncredited)
134,15,106585,Opera Spectator (uncredited)
135,15,121127,Man at Madison Square Garden (uncredited)
136,15,119547,Man at Madison Square Garden (uncredited)
137,15,1208035,Man at Madison Square Garden (uncredited)
138,15,1176932,Man (uncredited)
139,15,1422376,Woman in Front of Chronicle Building (uncredited)
140,15,1062654,Stagehand (uncredited)
141,15,1265589,Stagehand (uncredited)
142,15,1408657,Big Governess (uncredited)
143,15,117029,Smather (uncredited)
144,15,81975,Hireling (uncredited)
145,15,109778,Hireling (uncredited)
146,15,144549,Man in Inquirer City Room (uncredited)
147,15,120476,Senate Investigator (uncredited)
0,18,62,Korben Dallas
1,18,64,Jean-Baptiste Emmanuel Zorg
2,18,65,Father Vito Cornelius
3,18,63,Leeloo
4,18,66,Ruby Rhod
5,18,8395,Billy
6,18,591,General Munro
7,18,8396,President Lindberg
9,18,7400,Fog
10,18,8397,David
11,18,183500,Right Arm
12,18,12642,General Staedert
13,18,8398,Professor Pacoli
14,18,2406,Mugger
15,18,8399,Mactilburgh
16,18,8400,Mr. Kim
17,18,28897,Major Iceborg
18,18,10208,General Tudor
19,18,64210,Diva Plavalaguna
20,18,33403,Flying Cop
21,18,232174,VIP Stewardess
22,18,1588721,Stewardess
23,18,53246,Cop
24,18,8445,Hefty Man
25,18,1202628,"""Munro's Captain"
26,18,1818315,Ground Crew
27,18,16792,Neighbour
29,18,1776773,Left Arm
30,18,963257,"""President's Aide"
31,18,15740,"""Scientist's Aide"
32,18,1857410,Head Scientist
33,18,1857411,Head of Military
34,18,1857412,Omar
35,18,1857413,Aziz
36,18,240745,Mondoshawan / Mangalore Aknot / Airport Guard
37,18,1857414,Mondoshawan
38,18,179771,Mondoshawan
39,18,1857415,Mondoshawan
40,18,1857416,Mondoshawan / Ground Crew
41,18,1402694,"""Mactilburgh's Assistant"
42,18,1857418,"""Staedert's Captain"
43,18,1211876,"""Mactilburgh's Technician"
44,18,17072,Chief NY Cop
45,18,1395429,NY Cop
46,18,62498,Flying Cop
47,18,45438,Flying Cop
48,18,126316,Flying Cop / Military Technician
49,18,1857422,Flying Cop
50,18,1338974,Flying Cop
51,18,1162833,Flying Cop
52,18,1857423,Flying Cop
53,18,1857424,Stewardess
54,18,1857425,Stewardess
55,18,1857427,Check-in Attendant
56,18,36901,Warship Captain
57,18,1768180,"""Diva's Manager"
58,18,1857429,Cop
59,18,1600365,Ruby Rhod Assistant
60,18,1735717,Ruby Rhod Assistant
61,18,1364322,Ruby Rhod Assistant
62,18,1427818,"""Diva's Assistant"
63,18,1857430,Human Aknot
64,18,1857431,Mangalore Akanit
65,18,33186,Mangalore Kino
66,18,64102,Airport Cop
67,18,937052,Tawdry Girl
68,18,1857432,Shuttle Pilot
69,18,1857433,Shuttle Co-Pilot
70,18,1435006,Shuttle Mechanic
71,18,1857434,Baby Ray
72,18,1230490,Emperor Kodar Japhet
73,18,1563988,Princess Achen
74,18,1857435,Roy von Bacon
75,18,1857436,Fhloston Hostess
76,18,1857437,Fhloston Hostess
77,18,987,Police Chief
78,18,192895,Fhloston Commander
79,18,36900,Fhloston Captain
80,18,1857438,Hotel Manager
81,18,1857439,"""Zorg's Secretary"
82,18,1857440,Scientist
83,18,213392,Scientist
84,18,202759,Scientist
85,18,1857441,Military Technician
86,18,1857442,Military Technician
87,18,554284,Military Technician
88,18,1857443,Lab Guard
89,18,1857444,Lab Guard
90,18,1857445,"""Staedert's Technician"
91,18,1857446,"""Staedert's Technician"
92,18,1857449,"""Staedert's Technician"
93,18,1857450,Robot Barman
94,18,1857451,Warship Technician
95,18,234685,TV Stewardess
96,18,1857452,Power Operator
97,18,1857453,Power Operator
98,18,1857454,"""Zorg's Man"
99,18,1857455,"""Zorg's Man"
100,18,1857456,"""Zorg's Man"
101,18,1857457,"""Zorg's Man"
102,18,1857458,"""Zorg's Man"
103,18,84440,Burger Assistant
104,18,1596096,Burger Assistant
105,18,1857459,Burger Assistant
106,18,1748085,Glamorous Alien Diva at Event
107,18,19375,Mondoshawan #3
108,18,1467173,Japanese Hostess
109,18,1857460,Glamorous Japanese Girl
,18,185746,Stewardess
0,14,1979,Lester Burnham
1,14,516,Carolyn Burnham
2,14,2155,Jane Burnham
3,14,8210,Ricky Fitts
4,14,8211,Angela Hayes
5,14,2955,Colonel Frank Fitts
6,14,2154,Jim Olmeyer
7,14,8212,Buddy Kane
8,14,19,Barbara Fitts
9,14,8213,Jim Berkley
10,14,8214,Brad Dupree
11,14,68842,Sale House Man #1
12,14,1658382,Sale House Man #2
13,14,9634,Sale House Man #3
14,14,64189,Sale House Woman #1
15,14,166961,Sale House Woman #2
16,14,1397945,Sale House Woman #3
17,14,152796,Sale House Woman #4
18,14,42715,Christy Kane
19,14,12223,Catering Boss
20,14,76742,"""Mr. Smiley's Counter Girl (Janine)"
21,14,1441804,"""Mr. Smiley's Manager"
22,14,177623,Firing Range Attendant
23,14,1448568,Young Jane
25,14,101687,Spartanette #1
26,14,1503019,Spartanette #2
27,14,1503020,Spartanette #3
28,14,1503021,Spartanette #4
29,14,1503022,Spartanette #5
30,14,1503023,Spartanette #6
31,14,1503024,Spartanette #7
32,14,1503030,Spartanette #8
33,14,568656,Spartanette #9
34,14,1503025,Spartanette #10
35,14,1503026,Playground Girl #1
,14,,Playground Girl #2
0,16,47,Selma Jezkova
1,16,50,Kathy
2,16,52,Bill Houston
3,16,53,Jeff
4,16,6748,Oldrich Novy
5,16,2617,Linda Houston
6,16,6749,Gene Jezkova
7,16,1642,Norman
8,16,6750,Samuel
9,16,6751,Brenda
10,16,6752,District Attorney
11,16,1646,Dr. Porkorny
12,16,6121,Morty
13,16,6753,Judge
14,16,6754,Receptionist
15,16,6755,Defense Attorney
16,16,6756,Suzan
17,16,6757,Angry Man
18,16,6758,Detective
19,16,1640,Doctor
20,16,4458,Woman on Night Shift
21,16,1439629,Officer of the Court / Dancer
22,16,6135,Chairman / Dancer
23,16,1507755,New Defense Council
24,16,1190848,Person in Doorway
25,16,1445063,Dancer
26,16,148629,Dancer
27,16,1151162,Dancer (uncredited)
28,16,1335599,"""Prison Guard - Serving Selma Jezkova's last meal (uncredited)"
0,2,54768,Taisto Olavi Kasurinen
1,2,54769,Irmeli Katariina Pihlaja
2,2,4826,Mikkonen
3,2,54770,Riku
0,12,13,Marlin (voice)
1,12,14,Dory (voice)
2,12,12,Nemo (voice)
3,12,5293,Gill (voice)
4,12,18,Bloat (voice)
5,12,19,Peach (voice)
6,12,6168,Gurgle (voice)
7,12,17401,Bubbles (voice)
8,12,14723,Deb / Flo (voice)
9,12,7911,Jacques (voice)
10,12,118,Nigel (voice)
11,12,7,Crush (voice)
12,12,20,Coral (voice)
13,12,981048,Squirt (voice)
14,12,10,Mr. Ray (voice)
15,12,22,Bruce (voice)
16,12,8783,Anchor (voice)
17,12,27752,Chum (voice)
18,12,23,Dentist (voice)
19,12,981049,Darla (voice)
20,12,1211731,Tad (voice)
21,12,1372790,Pearl (voice)
22,12,17190,Sheldon (voice)
33,12,7907,Fish School (voice)
